id,Listening_Time_minutes
750000,52.30452
750001,18.250778
750002,48.02619
750003,72.056786
750004,50.04855
750005,21.588253
750006,86.77107
750007,40.69294
750008,64.24411
750009,74.06372
750010,18.298985
750011,24.685904
750012,34.408684
750013,51.309193
750014,50.367188
750015,58.948097
750016,39.3573
750017,36.081287
750018,61.542263
750019,44.817924
750020,36.203583
750021,56.562157
750022,77.81996
750023,31.0623
750024,53.82923
750025,39.484127
750026,12.716589
750027,24.838156
750028,35.728256
750029,40.151752
750030,38.0242
750031,35.260155
750032,17.655184
750033,58.435043
750034,25.471684
750035,21.028748
750036,15.231717
750037,34.15341
750038,23.319702
750039,21.045734
750040,16.319904
750041,79.81329
750042,70.01884
750043,75.0875
750044,49.06873
750045,23.37367
750046,15.804338
750047,50.935905
750048,15.207682
750049,6.661264
750050,88.026825
750051,21.930933
750052,49.768368
750053,70.44048
750054,13.8811
750055,18.305265
750056,74.39305
750057,57.87135
750058,22.609575
750059,33.61947
750060,46.930733
750061,35.605175
750062,64.52973
750063,75.87486
750064,49.130405
750065,15.556041
750066,65.943275
750067,45.54132
750068,52.653267
750069,45.001728
750070,36.609844
750071,39.119812
750072,47.269226
750073,27.217264
750074,46.079464
750075,94.84571
750076,17.109722
750077,8.928081
750078,78.29195
750079,86.87114
750080,42.601482
750081,87.20382
750082,18.241068
750083,72.2951
750084,66.10958
750085,63.975296
750086,54.607975
750087,99.587814
750088,10.88681
750089,51.63447
750090,61.54468
750091,72.87749
750092,37.298008
750093,35.675144
750094,48.2348
750095,31.756098
750096,5.4272065
750097,28.853113
750098,35.344814
750099,15.963422
750100,45.05215
750101,48.724285
750102,51.71394
750103,45.977573
750104,35.059086
750105,33.822876
750106,29.265589
750107,92.7488
750108,59.666145
750109,36.531536
750110,49.55555
750111,21.383528
750112,8.963473
750113,77.21053
750114,55.58225
750115,70.28236
750116,83.51914
750117,62.714596
750118,54.168495
750119,21.86814
750120,2.5132117
750121,57.59794
750122,73.85212
750123,60.838932
750124,37.79638
750125,21.188683
750126,64.834435
750127,2.8324773
750128,6.1925898
750129,19.998978
750130,41.705647
750131,26.8865
750132,4.451033
750133,49.667564
750134,81.61498
750135,34.137157
750136,36.142857
750137,13.2749195
750138,91.99853
750139,60.681316
750140,52.438255
750141,50.15445
750142,50.76629
750143,31.042067
750144,62.696728
750145,54.515747
750146,79.526146
750147,67.55352
750148,52.26207
750149,8.981502
750150,28.56683
750151,43.690586
750152,53.45252
750153,63.12864
750154,55.397858
750155,16.860722
750156,6.056685
750157,71.76113
750158,21.656286
750159,33.55234
750160,52.878696
750161,50.053604
750162,61.33986
750163,18.109974
750164,77.136604
750165,82.45499
750166,73.85944
750167,82.51841
750168,57.180477
750169,38.61522
750170,54.771214
750171,36.047752
750172,4.903217
750173,42.790913
750174,37.2317
750175,60.57116
750176,102.71579
750177,77.90257
750178,46.289223
750179,5.0265512
750180,85.495026
750181,38.56349
750182,105.431625
750183,30.7568
750184,81.78023
750185,32.617783
750186,82.2044
750187,46.538006
750188,9.669592
750189,23.942059
750190,52.334003
750191,29.839537
750192,33.84671
750193,30.61548
750194,37.011852
750195,52.288696
750196,28.174906
750197,11.817194
750198,18.188927
750199,35.998306
750200,29.24233
750201,68.245026
750202,38.184547
750203,54.949757
750204,64.978546
750205,32.21911
750206,21.856936
750207,50.5823
750208,34.638042
750209,43.501884
750210,56.45162
750211,56.019257
750212,62.330147
750213,65.41641
750214,31.89386
750215,69.7705
750216,71.142525
750217,63.51533
750218,8.165292
